stock,horizon,model,bootstrap,bias2,var,noise,mse,bias_share,var_share,noise_share
0bdf7ff7bb4847bab154eb59fd1345bd,5,garch,stationary,4.5675688970829925e-06,5.126271152250364e-08,0.0,4.617806354375047e-06,0.9891209259469147,0.011101095972535927,0.0
0bdf7ff7bb4847bab154eb59fd1345bd,10,garch,stationary,8.903745795152839e-06,8.838666390634596e-08,0.0,8.990364725781058e-06,0.9903653596633485,0.009831265649644394,0.0
0bdf7ff7bb4847bab154eb59fd1345bd,60,garch,stationary,0.0001082185029826452,5.1931599408701284e-08,0.0,0.0001082693959500657,0.9995299413377722,0.00047965169615107444,0.0
0d06cf1025d84e19be32c9d9ffed9fd2,1,garch,stationary,2.699365795254563e-06,1.8185812019754137e-07,0.0,2.8775867530481524e-06,0.9380658263022637,0.06319813642626197,0.0
0d06cf1025d84e19be32c9d9ffed9fd2,5,garch,stationary,5.414987292512263e-06,2.7973641136197208e-08,0.0,5.4424014608257356e-06,0.9949628544474717,0.005139944441355669,0.0
0d06cf1025d84e19be32c9d9ffed9fd2,10,garch,stationary,1.0152293257113968e-05,3.2194067907570883e-08,0.0,1.018384344366339e-05,0.9969019371984698,0.0031612885729898703,0.0
0d06cf1025d84e19be32c9d9ffed9fd2,60,garch,stationary,0.00011072699728026536,5.49420743201635e-08,0.0,0.00011078084051309914,0.9995139662004333,0.0004959528567005857,0.0
107939e77b8642a3a222419adc1ae0f2,1,garch,stationary,2.794502919247668e-06,2.285281105362032e-07,0.0,3.0184604675731476e-06,0.9258040478808913,0.0757101552235801,0.0
107939e77b8642a3a222419adc1ae0f2,5,garch,stationary,2.973602199212301e-06,2.1039881945772644e-08,0.0,2.994221283519158e-06,0.9931137072532519,0.007026829333416575,0.0
107939e77b8642a3a222419adc1ae0f2,10,garch,stationary,5.0858719016354106e-06,7.618205022806554e-08,0.0,5.160530310858917e-06,0.9855328028853143,0.014762446035393176,0.0
107939e77b8642a3a222419adc1ae0f2,60,garch,stationary,0.0001037832416091326,3.8400707476423703e-08,0.0,0.00010382087430245952,0.9996375228625286,0.0003698746300724804,0.0
108ca1fef317486f98e9dfab977b6f16,1,garch,stationary,3.2267488466752304e-06,4.0049679858913513e-07,0.0,3.619235709292584e-06,0.8915553188178316,0.1106578379409879,0.0
108ca1fef317486f98e9dfab977b6f16,5,garch,stationary,2.5991121360346485e-06,2.4258553410105426e-07,0.0,2.8368459594536828e-06,0.9161978384385676,0.0855124097565633,0.0
108ca1fef317486f98e9dfab977b6f16,10,garch,stationary,3.824724646044407e-06,1.0744220746687092e-07,0.0,3.930018009361941e-06,0.9732079183691505,0.027338858806989216,0.0
108ca1fef317486f98e9dfab977b6f16,60,garch,stationary,0.00019309785235379772,2.1069933061015127e-07,0.0,0.00019330433769779563,0.9989318121545687,0.0010899875973789594,0.0
1443c5278293485cb099fd2fad5348fa,1,garch,stationary,1.9659389473374143e-06,5.407691176601056e-08,0.0,2.018934320868106e-06,0.9737508184476725,0.026784879135027258,0.0
1443c5278293485cb099fd2fad5348fa,5,garch,stationary,2.84750554026983e-06,9.04534303809652e-09,0.0,2.856369976447165e-06,0.996896607844772,0.003166726689008046,0.0
1443c5278293485cb099fd2fad5348fa,10,garch,stationary,6.089907762521523e-06,6.850351497771869e-09,0.0,6.096621106989341e-06,0.998898841776452,0.0011236308403549024,0.0
1443c5278293485cb099fd2fad5348fa,60,garch,stationary,9.645145084199171e-05,8.113863194604334e-09,0.0,9.645940242792241e-05,0.9999175654655683,8.411687186915008e-05,0.0
168edf076f064342ad8aa3b37551cb8a,1,garch,stationary,1.625926256074118e-06,1.4379750165974842e-07,0.0,1.7668478077006704e-06,0.9202412618606104,0.08138646748917369,0.0
168edf076f064342ad8aa3b37551cb8a,5,garch,stationary,1.926340988151083e-06,1.1924852974619775e-08,0.0,1.938027344066209e-06,0.9939699736688921,0.006153088092967786,0.0
168edf076f064342ad8aa3b37551cb8a,10,garch,stationary,3.4413281307055985e-06,6.759161195011793e-09,0.0,3.44795210867671e-06,0.9980788660160208,0.0019603407999787712,0.0
168edf076f064342ad8aa3b37551cb8a,60,garch,stationary,5.129942954182895e-05,1.8198467477546788e-08,0.0,5.1317264039956935e-05,0.9996524659203558,0.00035462661188205585,0.0
16a87247231944c4a0be45f797d14eb8,1,garch,stationary,2.0515861608767182e-06,8.663086647596868e-08,0.0,2.136484410023166e-06,0.9602626404629242,0.04054832605824132,0.0
16a87247231944c4a0be45f797d14eb8,5,garch,stationary,1.3527966340223088e-06,1.1267878099056911e-08,0.0,1.3638391545593847e-06,0.991903355685192,0.0082618819538857,0.0
16a87247231944c4a0be45f797d14eb8,10,garch,stationary,1.9761031153030065e-06,2.499932941600989e-08,0.0,2.0006024581306957e-06,0.9877540174320386,0.012495900579552686,0.0
16a87247231944c4a0be45f797d14eb8,60,garch,stationary,4.468412225799947e-05,6.583355083927391e-09,0.0,4.4690573945981725e-05,0.9998556364930543,0.00014730970096478972,0.0
170b39f1f7144bb3b4554aabc336106e,1,garch,stationary,3.833763395447066e-06,3.134891931508061e-06,0.0,6.905957488324968e-06,0.555138574474043,0.4539402301285271,0.0
170b39f1f7144bb3b4554aabc336106e,5,garch,stationary,4.616213814746459e-06,4.426624831845135e-08,0.0,4.659594738098542e-06,0.9906899793242995,0.009500021097653492,0.0
170b39f1f7144bb3b4554aabc336106e,10,garch,stationary,9.632454885972797e-06,4.5138825690077496e-08,0.0,9.676690935149074e-06,0.9954285974954934,0.004664696433169911,0.0
170b39f1f7144bb3b4554aabc336106e,60,garch,stationary,0.00015250729491944224,2.7770153868677163e-08,0.0,0.00015253450967023358,0.9998215829922673,0.00018205817115558856,0.0
1d8dc18ebfee47ffbb54b04e6afc0634,1,garch,stationary,2.2644408362078362e-06,5.004343293149861e-07,0.0,2.7548664789365226e-06,0.8219784347160054,0.18165465845305565,0.0
1d8dc18ebfee47ffbb54b04e6afc0634,5,garch,stationary,2.07856708820772e-06,5.600520112861277e-08,0.0,2.1334521853137606e-06,0.9742740439725539,0.026250975538210267,0.0
1d8dc18ebfee47ffbb54b04e6afc0634,10,garch,stationary,3.6319507654750044e-06,1.8998204728489037e-08,0.0,3.6505690061089236e-06,0.9948999072191861,0.005204176306953004,0.0
1d8dc18ebfee47ffbb54b04e6afc0634,60,garch,stationary,5.710394098262976e-05,3.087498816869847e-08,0.0,5.7134198471035083e-05,0.9994704137064133,0.0005403941771293237,0.0
1f19ad38e0d54c9680dc34dadf4dce47,1,garch,stationary,2.4702013915828423e-06,2.56707033020469e-07,0.0,2.7217742839429e-06,0.9075702589137492,0.09431606233290961,0.0
1f19ad38e0d54c9680dc34dadf4dce47,5,garch,stationary,2.497872929252329e-06,4.344160027486092e-08,0.0,2.540445697521693e-06,0.9832420081598693,0.017099991673602766,0.0
1f19ad38e0d54c9680dc34dadf4dce47,10,garch,stationary,5.829703682348299e-06,2.093488791385047e-08,0.0,5.850219872503873e-06,0.9964930907551013,0.0035784788213251225,0.0
1f19ad38e0d54c9680dc34dadf4dce47,60,garch,stationary,7.991576760560652e-05,1.6463070561830362e-08,0.0,7.993190141475715e-05,0.9997981555691149,0.0002059637049843897,0.0
23dc744f46e4478eb2f5253bcbffae15,1,garch,stationary,3.129898990004574e-06,1.2109010434315495e-06,0.0,4.316582012567491e-06,0.725087344776966,0.2805231175745249,0.0
23dc744f46e4478eb2f5253bcbffae15,5,garch,stationary,4.86005184899713e-06,8.108027510155332e-08,0.0,4.939510518596652e-06,0.9839136551485477,0.016414637603522863,0.0
23dc744f46e4478eb2f5253bcbffae15,10,garch,stationary,9.42930291956024e-06,1.2537941122018734e-07,0.0,9.552174742556021e-06,0.9871367697610919,0.013125745141743257,0.0
23dc744f46e4478eb2f5253bcbffae15,60,garch,stationary,0.00015919204384122788,7.04447040827314e-08,0.0,0.00015926107965122895,0.9995665242873384,0.0004423221557771714,0.0
24bc76eb35d843d28cf4aeca325e9084,1,garch,stationary,1.8974052742127447e-06,2.61583143227859e-07,0.0,2.153756754576046e-06,0.8809747294727521,0.12145435768086545,0.0
24bc76eb35d843d28cf4aeca325e9084,5,garch,stationary,1.4688008379037077e-06,2.288417507091479e-08,0.0,1.4912273294732044e-06,0.9849610511246336,0.015345866199353337,0.0
24bc76eb35d843d28cf4aeca325e9084,10,garch,stationary,2.262375025590645e-06,3.8529781041249705e-08,0.0,2.3001342110110698e-06,0.9835839207818108,0.01675110124305015,0.0
24bc76eb35d843d28cf4aeca325e9084,60,garch,stationary,5.1227053534720516e-05,2.611767613749351e-08,0.0,5.125264885733525e-05,0.9995006048821793,0.0005095868549193154,0.0
253855077c314a04be294ce53c3cdaa2,1,garch,stationary,1.1163728990546146e-05,1.8624780402072652e-07,0.0,1.1346251838486459e-05,0.9839133794544207,0.016414918924060405,0.0
253855077c314a04be294ce53c3cdaa2,5,garch,stationary,3.257742648897344e-05,1.22601649692178e-07,0.0,3.269757610567177e-05,0.996325427416698,0.0037495638605123194,0.0
253855077c314a04be294ce53c3cdaa2,10,garch,stationary,6.437281132586932e-05,1.836352581012079e-07,0.0,6.45527738788085e-05,0.9972121639067433,0.0028447307074048445,0.0
253855077c314a04be294ce53c3cdaa2,60,garch,stationary,0.0006915704962828634,1.4608694983477083e-07,0.0,0.0006917136614937016,0.9997930282155639,0.0002111956984040296,0.0
2653e96292d24c64b27c0b70de53b2f9,1,garch,stationary,1.604994859019625e-06,1.7068403262261777e-07,0.0,1.7722652109897897e-06,0.9056177648057843,0.09630840325940422,0.0
2653e96292d24c64b27c0b70de53b2f9,5,garch,stationary,1.622297988812422e-06,2.3273843921160338e-08,0.0,1.645106355855159e-06,0.9861356276683517,0.014147318705763636,0.0
